study,dataset,name,itemname,wave,year,waveletter,orig_itemname,description,scale,reverse_code,recode,mini,maxi,,comp_rule,,,,,,,,,,,,,,,,,,,
gsoep,jpequiv,SRhealth,SRhealth,10,1993,j,m1112693,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,kpequiv,SRhealth,SRhealth,11,1994,k,m1112694,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,lpequiv,SRhealth,SRhealth,12,1995,l,m1112695,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,mpequiv,SRhealth,SRhealth,13,1996,m,m1112696,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,npequiv,SRhealth,SRhealth,14,1997,n,m1112697,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,opequiv,SRhealth,SRhealth,15,1998,o,m1112698,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,ppequiv,SRhealth,SRhealth,16,1999,p,m1112699,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,qpequiv,SRhealth,SRhealth,17,2000,q,m1112600,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,rpequiv,SRhealth,SRhealth,18,2001,r,m1112601,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,spequiv,SRhealth,SRhealth,19,2002,s,m1112602,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,tpequiv,SRhealth,SRhealth,20,2003,t,m1112603,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,upequiv,SRhealth,SRhealth,21,2004,u,m1112604,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,vpequiv,SRhealth,SRhealth,22,2005,v,m1112605,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,wpequiv,SRhealth,SRhealth,23,2006,w,m1112606,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,xpequiv,SRhealth,SRhealth,24,2007,x,m1112607,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,ypequiv,SRhealth,SRhealth,25,2008,y,m1112608,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,zpequiv,SRhealth,SRhealth,26,2009,z,m1112609,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,bapequiv,SRhealth,SRhealth,27,2010,ba,m1112610,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,bbpequiv,SRhealth,SRhealth,28,2011,bb,m1112611,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,bcpequiv,SRhealth,SRhealth,29,2012,bc,m1112612,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,bdpequiv,SRhealth,SRhealth,30,2013,bd,m1112613,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,bepequiv,SRhealth,SRhealth,31,2014,be,m1112614,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,bfpequiv,SRhealth,SRhealth,32,2015,bf,m1112615,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,bgpequiv,SRhealth,SRhealth,33,2016,bg,m1112616,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
gsoep,bhpequiv,SRhealth,SRhealth,34,2017,bh,m1112617 ,Current Self-Rated Health Status,"[-6] Version of questionnaire with modified filtering 
[-5] Not included in this version of the questionnaire 
[-4] Inadmissible multiple response 
[-3] Answer improbable 
[-2] Does not apply 
[-1] No Answer 
[1] Very good 1 
[2] Good 2 
[3] Satisfactory 3 
[4] Poor 4 
[5] Bad 5 ",yes,"ifelse(is.na(x) | x < 0, NA, x)",1,5,,,,,,,,,,,,,,,,,,,,,
